# Cortical regions: LUT Lausanne2008 - Scale 5 - Cammoun et al., JNeurosci 2012
# Subcortical regions: LUT FreeSurferColorLUT.txt,v 1.70.2.7
# Thalamus segmentation: custom LUT - RGb gradient


#No.	Label Name:								R	G	B	A

460		right-superiortemporal_14				140	220	214	0
461		right-superiortemporal_6				140	220	206	0
462		right-superiortemporal_7				140	220	207	0
463		right-superiortemporal_16				140	220	216	0
464		right-superiortemporal_19				140	220	219	0
465		right-superiortemporal_15				140	220	215	0
466		right-superiortemporal_12				140	220	212	0
467		right-superiortemporal_21				127	220	220	0
468		right-superiortemporal_24				130	220	220	0
469		right-superiortemporal_2				140	220	202	0
470		right-superiortemporal_22				128	220	220	0
471		right-superiortemporal_13				140	220	213	0
472		right-superiortemporal_5				140	220	205	0
473		right-superiortemporal_11				140	220	211	0
474		right-superiortemporal_3				140	220	203	0
475		right-superiortemporal_17				140	220	217	0
476		right-superiortemporal_18				140	220	218	0
477		right-superiortemporal_8				140	220	208	0
478		right-superiortemporal_4				140	220	204	0
479		right-superiortemporal_23				129	220	220	0
480		right-superiortemporal_20				126	220	220	0
481		right-superiortemporal_10				140	220	210	0
482		right-superiortemporal_1				140	220	220	0
483		right-transversetemporal_1				150	150	200	0
484		right-transversetemporal_2				150	150	182	0
485		right-transversetemporal_3				150	150	183	0
486		right-insula_16							241	192	32	0
487		right-insula_13							238	192	32	0
488		right-insula_6							231	192	32	0
489		right-insula_4							229	192	32	0
490		right-insula_5							230	192	32	0
491		right-insula_15							240	192	32	0
492		right-insula_8							233	192	32	0
493		right-insula_11							236	192	32	0
494		right-insula_10							235	192	32	0
495		right-insula_1							255	192	32	0
496		right-insula_7							232	192	32	0
497		right-insula_14							239	192	32	0
498		right-insula_3							228	192	32	0
499		right-insula_2							227	192	32	0
500		right-insula_12							237	192	32	0
501		right-insula_9							234	192	32	0
502		right-thalamus_PU						0	102	0	0
503		right-thalamus_A						0	153	0	0
504		right-thalamus_MD						0	204	0	0
505		right-thalamus_VLD						0	255	0	0
506		right-thalamus_CLPUM					51	255	51	0
507		right-thalamus_VA						102	255	102	0
508		right-thalamus_VLV						153	255	153	0
509		right-caudate							122	186	220	0
510		right-putamen							236	13	176	0
511		right-pallidum							12	48	255	0
512		right-accumbensarea						255	165	0	0
513		right-hippocampus						220	216	20	0
514		right-amygdala							103	255	255	0
515		left-lateralorbitofrontal_9				35	75	44	0
516		left-lateralorbitofrontal_4				35	74	50	0
517		left-lateralorbitofrontal_6				35	75	41	0
518		left-lateralorbitofrontal_3				35	73	50	0
